9619.00.00;24657;ABSORVENTE INTIMUS GEL NOTURNO C/ABAS SECA C/8 LONGO;060;UN;4.02;13.00;52.26;0.00
9619.00.00;3069;ABSORVENTE INTIMUS GEL NOTURNO C/ABAS SUAVE @ 7896007540662;060;UN;3.47;49.00;170.03;0.00
9619.00.00;1508;ABSORVENTE INTIMUS GEL S/ABAS NORMAL SECA C/8;060;UN;2.02;60.00;121.20;0.00
9619.00.00;2863;ABSORVENTE INTIMUS GEL S/ABAS NORMAL SUAVE C/8;060;UN;2.02;104.00;210.08;0.00
9619.00.00;60676;ABSORVENTE MILI DIA & NOITE SUAVE C/ ABAS 8 UN;060;UN;2.11;59.00;124.49;0.00
9619.00.00;60681;ABSORVENTE MILI FLUXO S INTENSO SUAVE C/ ABAS 16 UN;060;UN;4.58;1.00;4.58;0.00
9619.00.00;60677;ABSORVENTE MILI NOTURNO SUAVE C/ ABAS 8 UN;060;UN;2.42;77.00;186.34;0.00
9619.00.00;60680;ABSORVENTE MILI PROTECAO TOTAL SECA C/ ABAS 8 UN;060;UN;1.85;21.00;38.85;0.00
9619.00.00;60679;ABSORVENTE MILI PROTECAO TOTAL SUAVE C/ ABAS 8 UN;060;UN;1.79;92.00;164.68;0.00
9619.00.00;60678;ABSORVENTE MILI PROTECAO TOTAL SUAVE S/ ABAS 8 UN;060;UN;1.79;109.00;195.11;0.00
9619.00.00;61429;ABSORVENTE MILI PROTETOR DIARIO C/15 S/ ABAS S/ PERFUME;060;UN;1.91;42.00;80.22;0.00
9619.00.00;30883;ABSORVENTE MILI PROTETOR DIARIO C/40;060;UN;4.89;27.00;132.03;0.00
9619.00.00;61428;ABSORVENTE MILI PROTETOR DIARIO C/80 S/ ABAS S/ PERFUME;060;UN;9.43;11.00;103.73;0.00
9619.00.00;38918;ABSORVENTE OB INTERNO MEDIO LEV10PAG8;060;UN;6.17;1.00;6.17;0.00
9619.00.00;3391;ABSORVENTE OB INTERNO MEDIO REGULAR C/10;060;UN;7.33;1.00;7.33;0.00
9619.00.00;51651;ABSORVENTE OB INTERNO MINI C/10 PROCOMFORT;060;UN;8.66;1.00;8.66;0.00
9619.00.00;61027;ABSORVENTE OB INTERNO PROCONFORT C/16 MEDIO;060;UN;9.37;5.00;46.85;0.00
9619.00.00;59221;ABSORVENTE OB INTERNO PROCONFORT C/8;060;UN;5.67;1.00;5.67;0.00
9619.00.00;60217;ABSORVENTE OB INTERNO PROCONFORT C/8 SUPER;060;UN;5.67;3.00;17.01;0.00
9619.00.00;58901;ABSORVENTE P/ SEIOS JOHNSONS C/12;060;UN;12.07;2.00;24.14;0.00
9619.00.00;56024;ABSORVENTE PROTETOR DIARIO ALWAYS C/15 REGULAR;060;UN;3.18;2.00;6.36;0.00
9619.00.00;52455;ABSORVENTE SEMPRE LIVRE C/ABAS ADAPT C/32 SUAVE;060;UN;9.47;12.00;113.64;0.00
9619.00.00;52463;ABSORVENTE SEMPRE LIVRE C/ABAS ADAPT C/8 FIT SECA;060;UN;2.76;29.00;80.04;0.00
9619.00.00;3014;ABSORVENTE SEMPRE LIVRE C/ABAS ADAPT PLUS C/8;060;UN;3.15;42.00;132.30;0.00
9619.00.00;27658;ABSORVENTE SEMPRE LIVRE C/ABAS ESPECIAL ADAPT LV16 PG14;060;UN;5.06;31.00;156.86;0.00
9619.00.00;51924;ABSORVENTE SEMPRE LIVRE C/ABAS FIT COBERTURA SECA C/32;060;UN;10.07;11.00;110.77;0.00
9619.00.00;45328;ABSORVENTE SEMPRE LIVRE C/ABAS MAX NOTURNO LEV16 PAG14;060;UN;9.94;2.00;19.88;0.00
9619.00.00;45327;ABSORVENTE SEMPRE LIVRE C/ABAS MAX NOTURNO LEV32 PAG24;060;UN;16.92;14.00;236.88;0.00
