13;26;UN;6.78
15;14;UN;2.19
17;21;UN;6.98
29;74;UN;2.89
31;19;UN;2.58
39;50;UN;2.99
46;177;UN;2.29
47;121;UN;4.58
48;103;UN;6.95
49;13;UN;7.98
50;39;UN;2.58
51;5;UN;2.58
54;15;UN;2.58
55;128;UN;2.45
58;22;UN;5.98
63;58;UN;11.58
64;59;UN;1.79
67;60;UN;0.95
68;5;UN;0.75
69;5;UN;2.09
70;82;UN;0.95
72;20;UN;1.99
73;43;UN;1.19
76;7;UN;0.75
77;9;UN;0.75
78;59;UN;1.19
79;13;UN;0.75
80;31;UN;0.99
81;40;UN;0.75
82;26;UN;0.95
83;31;UN;0.75
84;19;UN;0.75
85;152;UN;0.75
93;39;UN;3.49
95;95;UN;10.9
96;113;UN;10.9
97;47;UN;5.89
109;5;UN;2.35
114;1082;UN;4.98
115;1877;UN;8.95
123;66;UN;5.89
126;36;UN;8.98
129;16;UN;5.78
130;16;UN;5.78
132;33;UN;5.78
133;23;UN;12.58
134;22;UN;12.58
136;12;UN;2.35
137;14;UN;2.35
138;32;UN;3.98
139;21;UN;3.98
140;36;UN;3.98
141;17;UN;12.58
143;85;UN;4.28
144;67;UN;4.28
145;108;UN;4.28
146;71;UN;4.28
147;114;UN;4.28
148;111;UN;4.28
149;695;UN;4.28
161;16;UN;4.98
162;6;UN;4.98
163;40;UN;3.98
164;5;UN;4.98
165;219;UN;3.98
167;14;UN;4.98
168;19;UN;4.98
170;63;UN;3.58
198;41;UN;3.98
222;28;UN;3.19
223;52;UN;3.19
224;64;UN;3.19
225;28;UN;3.19
226;100;UN;3.19
227;454;UN;5.58
228;636;UN;5.19
229;52;UN;5.19
233;40;UN;6.98
235;56;UN;6.58
236;71;UN;6.58
250;28;UN;3.58
251;86;UN;11.98
252;65;UN;6.58
262;11;UN;15.58
265;19;UN;16.95
283;164;UN;9.58
285;15;UN;16.98
286;174;UN;4.58
293;-9;UN;4.28
294;760;UN;4.58
308;8;UN;3.58
341;25;UN;13.58
345;1;UN;23.9
346;9;UN;14.58
358;28;UN;15.95
361;31;UN;46.9
365;77;UN;32.9
373;21;UN;39.9
376;17;UN;15.98
377;2;UN;52.9
380;479;UN;14.58
411;68;UN;1.95
413;27;UN;1.99
431;33;UN;3.98
437;35;UN;2.98
446;6;UN;4.98
450;4;UN;2.78
486;301;UN;5.98
509;5;UN;26.9
547;178;UN;6.98
549;19;UN;2.39
550;5;UN;2.49
569;45;UN;7.19
570;7;UN;7.19
571;13;UN;7.19
575;40;UN;4.98
576;50;UN;7.45
581;124;UN;4.98
583;306;UN;6.19
584;29;UN;4.78
585;2910;UN;2.99
588;45;UN;4.78
589;117;UN;6.35
595;23;UN;2.19
596;30;UN;2.19
597;47;UN;2.19
608;235;UN;3.58
617;32;UN;2.19
622;12;UN;7.58
626;6;UN;10.78
628;95;UN;3.19
634;47;UN;11.98
639;12;UN;8.95
640;35;UN;7.98
666;45;UN;3.98
675;50;UN;4.58
693;106;UN;6.98
697;3;UN;3.78
698;10;UN;6.98
702;11;UN;9.98
706;13;UN;10.98
718;2980;UN;0.69
719;804;UN;1.59
720;21;UN;6.19
721;137;UN;3.35
722;521;UN;1.98
730;6;UN;4.98
759;479;UN;0.49
763;69;UN;0.98
773;63;UN;1.49
779;110;UN;19.9
781;156;UN;17.9
783;2372;UN;6.98
784;16;UN;6.95
785;12;UN;6.95
788;352;UN;5.98
797;2437;UN;11.95
799;2467;UN;19.8
803;4127;UN;27.5
805;3420;UN;6.75
807;548;UN;6.99
808;2225;UN;1.98
818;57;UN;2.78
819;111;UN;2.78
820;12;UN;3.39
822;119;UN;5.58
827;104;UN;5.58
835;217;UN;3.58
836;16;UN;2.58
841;303;UN;2.68
843;59;UN;7.58
845;21;UN;7.58
848;19;UN;12.98
849;289;UN;3.35
868;268;UN;1.98
869;274;UN;1.98
871;380;UN;1.98
872;333;UN;2.39
875;15;UN;6.98
887;2;UN;7.58
895;13;UN;19.58
898;9;UN;13.78
901;20;UN;8.58
904;4;UN;7.78
928;471;UN;0.45
940;1;UN;14.95
954;7;UN;5.58
955;12;UN;5.58
956;6;UN;5.78
957;1;UN;5.58
958;11;UN;5.78
968;3;UN;8.58
987;87;UN;13.98
988;24;UN;41.9
989;65;UN;7.58
1008;121;UN;13.98
1010;10;UN;7.19
1015;173;UN;4.58
1016;78;UN;2.69
1021;37;UN;17.58
1023;43;UN;3.19
1027;3;UN;8.58
1030;50;UN;4.98
1031;127;UN;7.98
1033;149;UN;7.58
1034;147;UN;3.98
1036;31;UN;13.58
1043;31;UN;4.98
1049;2;UN;2.19
1050;3;UN;2.19
1152;176;UN;1.79
1194;11;UN;13.98
1196;6;UN;12.98
1197;3;UN;13.58
1253;14;UN;3.58
1255;43;UN;9.98
1256;18;UN;3.58
1313;13;UN;5.58
1314;9;UN;4.78
1342;16;UN;15.98
1388;17;UN;12.58
1409;16;UN;6.98
1421;3;UN;6.98
1465;11;UN;4.19
1473;24;UN;4.19
1485;16;UN;13.58
1507;11;UN;5.98
1508;60;UN;3.58
1519;145;UN;4.58
1520;31;UN;6.58
1531;82;UN;9.98
1582;73;UN;2.78
1595;22;UN;16.58
1602;10;UN;1.98
1605;975;UN;6.95
1606;16;UN;2.19
1608;422;UN;2.39
1609;1727;UN;2.29
1612;6643;UN;0.89
1615;6976.7;UN;0.89
1618;562;UN;1.89
1626;354;UN;1.5
1636;34;UN;7.78
1708;15;UN;19.9
1711;22;UN;19.98
1714;2;UN;19.98
1771;5;UN;19.98
1785;6;UN;18.58
1811;23;UN;10.58
1828;5;UN;4.58
1838;8;UN;5.78
1844;6;UN;12.95
1856;3;UN;5.99
1894;110;UN;1.39
1932;12;UN;1.98
1938;72;UN;3.58
1943;101;UN;4.58
1946;1369;UN;2.19
1948;40;UN;2.19
1982;8;UN;18.997
1985;7;UN;5.58
2008;153;UN;7.98
2011;9;UN;11.58
2021;30;UN;4.58
2024;5;UN;5.58
2026;10;UN;5.19
2028;26;UN;6.58
2029;9;UN;5.19
2072;1;UN;10.58
2074;1;UN;10.58
2082;5;UN;1.89
2086;11;UN;2.98
2093;96;UN;2.45
2094;172;UN;5.19
2114;2;UN;9.58
2117;29305;UN;7.85
2127;12;UN;4.98
2129;68;UN;3.19
2131;26;UN;3.98
2133;819;UN;2.19
2135;172;UN;2.78
2142;377;UN;7.58
2165;12;UN;3.78
2173;8;UN;4.58
2185;5;UN;14.98
2188;14;UN;15.58
2191;42;UN;18.95
2194;85;UN;1.78
2197;220;UN;1.59
2198;8;UN;4.58
2200;402;UN;3.95
2202;8;UN;12.98
2208;61;UN;3.98
2211;21;UN;3.78
2213;57;UN;3.98
2222;92;UN;3.19
2223;102;UN;3.98
2224;27;UN;6.95
2225;59;UN;3.19
2229;140;UN;13.98
2238;13;UN;1.99
2239;18;UN;2.09
2246;19;UN;4.35
2249;143;UN;2.98
2250;22;UN;6.19
2251;12;UN;5.98
2253;27;UN;0.99
2254;11;UN;0.75
2255;19;UN;4.98
2256;19;UN;2.49
2259;23;UN;2.49
2261;3;UN;3.58
2262;46;UN;6.49
2263;24;UN;7.19
2267;26;UN;2.49
2268;13;UN;3.35
2271;24;UN;2.49
2274;13;UN;7.58
2275;1;UN;4.99
2332;72;UN;4.98
2348;10;UN;4.98
2389;154;UN;4.19
2402;17;UN;5.98
2435;10;UN;12.98
2462;11;UN;10.58
2486;18;UN;3.19
2487;14;UN;3.19
2489;108;UN;2.98
2490;4;UN;6.19
2491;15;UN;3.19
2510;86;UN;7.19
2513;24;UN;8.98
2514;875;UN;6.98
2520;78;UN;4.98
2555;10;UN;9.78
2556;3;UN;9.78
2560;30;UN;5.58
2561;4;UN;31.9
2568;23;UN;4.35
2571;18;UN;1.19
2572;6;UN;1.19
2574;37;UN;1.49
2581;28;UN;5.58
2584;265;UN;2.19
2586;59;UN;3.58
2591;1406;UN;6.98
2595;69;UN;1.69
2634;-5;UN;3.78
2636;20;UN;9.98
2679;12;UN;12.98
2688;15;UN;7.95
2703;1040;UN;1.98
2706;4;UN;8.19
2709;1331;UN;2.19
2710;66;UN;4.98
2711;19;UN;5.58
2712;115;UN;2.69
2714;742;UN;6.45
2719;569;UN;0.49
2720;68;UN;23.98
2722;343;UN;1.98
2727;43;UN;6.98
2740;4;UN;4.78
2777;139;UN;3.98
2783;9;UN;5.78
2788;42;UN;4.98
2791;10;UN;1.29
2794;301;UN;1.79
2795;101;UN;1.79
2805;1;UN;5.58
2806;47;UN;5.58
2808;104;UN;7.19
2845;1;UN;5.58
2846;2;UN;5.58
2847;502;UN;4.19
2854;30;UN;21.9
2858;59;UN;5.78
2863;99;UN;3.58
2864;58;UN;3.58
2868;15;UN;7.58
2869;55;UN;1.29
2870;58;UN;3.58
2892;127;UN;1.79
2895;1744;UN;3.45
2896;55;UN;5.78
2914;63;UN;1.89
2923;136;UN;3.98
2934;10;UN;8.98
2935;336;UN;2.19
2951;12;UN;5.98
2953;10;UN;6.98
2961;103;UN;9.98
2978;21;UN;6.58
2983;25;UN;7.95
2988;18;UN;16.58
2992;14;UN;5.58
2993;12;UN;5.58
2997;22;UN;2.19
2998;1;UN;2.35
3005;1;UN;13.78
3014;42;UN;4.78
3017;170;UN;2.99
3020;122;UN;3.98
3026;12;UN;3.19
3027;103;UN;3.19
3030;319;UN;1.99
3031;584;UN;1.99
3046;56;UN;2.19
3051;36;UN;2.19
3069;49;UN;4.98
3076;40;UN;2.98
3090;146;UN;2.58
3098;165;UN;1.99
3099;106;UN;1.59
3104;443;UN;1.89
3113;6;UN;9.78
3116;7;UN;6.98
3117;12;UN;12.58
3120;17;UN;2.09
3127;2;UN;2.79
3137;113;UN;3.19
3138;418;UN;7.95
3141;46;UN;4.98
3147;8;UN;6.98
3149;57;UN;6.98
3151;21;UN;3.98
3159;77;UN;2.59
3164;15;UN;4.78
3183;20;UN;2.19
3184;132;UN;2.19
3185;29;UN;2.19
3215;96;UN;2.78
3221;24;UN;4.19
3225;6;UN;5.98
3226;40;UN;3.98
3231;26;UN;14.58
3235;49;UN;1.79
3236;38;UN;1.79
3238;39;UN;3.98
3242;12;UN;3.78
3249;12;UN;6.98
3265;460;UN;2.49
3266;13;UN;62.9
3267;12;UN;89.9
3268;6;UN;62.9
3269;7;UN;79.9
3270;3;UN;119.9
3271;9;UN;104.9
3345;3;UN;7.58
3374;5;UN;8.98
3375;13;UN;8.98
3391;1;UN;10.58
3392;177;UN;2.98
3413;2;UN;118.9
3416;2;UN;58.9
3420;-1;UN;53.9
3430;21;UN;21.95
3444;1;UN;32.9
3447;5;UN;26.9
3451;71;UN;1.98
3470;204;UN;3.95
3473;2;UN;29.9
3493;14;UN;13.58
3497;74;UN;2.98
3521;14;UN;6.98
3553;17;UN;13.98
3563;31;UN;5.78
3587;164;UN;1.49
3588;40;UN;1.49
3600;46;UN;21.98
3615;16;UN;6.58
3636;31;UN;9.58
3640;9;UN;10.98
3658;4;UN;12.58
3660;158;UN;5.98
3673;162;UN;3.98
3679;149;UN;15.58
3680;71;UN;2.89
3681;5;UN;2.89
3685;2086;UN;3.69
3686;1330;UN;3.69
3687;2643;UN;3.69
3688;58;UN;6.98
3693;2;UN;4.98
3700;43;UN;8.19
3714;171;UN;1.19
3716;13;UN;6.98
3718;34;UN;3.98
3720;-15;UN;1.49
3731;29;UN;7.19
3732;81;UN;3.98
3733;1246;UN;3.69
3740;1625;UN;3.69
3764;11;UN;12.58
3798;-1;UN;11.58
3814;194;UN;3.78
3830;8;UN;3.49
3831;4;UN;5.98
3851;9;UN;9.9
3853;9;UN;6.98
3855;18;UN;2.58
3861;1;UN;8.58
3862;7;UN;8.58
3863;6;UN;8.58
3864;1;UN;8.58
3876;4;UN;1.49
3882;36;UN;1.59
3920;88;UN;2.39
3922;5;UN;25.9
3926;2;UN;25.9
3941;1;UN;11.98
3942;4;UN;11.98
3943;2;UN;11.98
3944;5;UN;13.95
3966;35;UN;3.98
3967;1067;UN;4.58
3972;128;UN;5.98
3973;379;UN;4.78
3975;31;UN;2.19
3978;15;UN;3.19
3986;109;UN;3.98
3989;35;UN;3.78
3996;89;UN;1.78
3998;307;UN;1.78
4004;6;UN;5.19
4007;4;UN;10.98
4015;254;UN;8.98
4022;144;UN;1.99
4031;6;UN;6.98
4036;83;UN;3.99
4046;29;UN;2.19
4050;33;UN;3.58
4069;9;UN;6.58
4081;240;UN;68.9
4084;10286;UN;0.29
4085;-296.508;UN;0.59
4093;269;UN;5.19
4095;12;UN;2.89
4104;24;UN;7.58
4117;291;UN;1.99
4531;35;UN;7.19
4966;1;UN;43.9
4967;19;UN;1.59
5690;44.106;KG;6.58
5693;29;UN;2.78
6875;2;UN;5.98
6876;6;UN;10.98
7198;18;UN;1.59
7199;1;UN;1.49
7444;20;UN;9.98
7625;66;UN;1.78
7626;118;UN;1.78
7627;94;UN;1.78
7628;171;UN;15.78
7634;12;UN;19.98
7637;22;UN;10.98
7638;57;UN;3.98
8978;78;UN;3.78
9255;151;UN;2.98
9748;2;UN;4.58
10055;1;UN;49.9
10499;15;UN;17.58
10521;51;UN;4.35
10522;61;UN;4.35
10524;13;UN;4.35
10525;5;UN;4.35
10527;69;UN;3.19
10535;3;UN;4.58
10536;74;UN;3.49
10537;18;UN;4.58
10538;77;UN;3.49
10539;1;UN;5.19
10543;25;UN;4.35
10567;56;UN;4.35
10569;5;UN;5.98
10628;140;UN;0.5
10629;81;UN;3.49
10641;23;UN;3.39
10654;59;UN;3.19
10656;50;UN;3.19
10846;212;UN;2.29
10849;22;UN;3.98
10853;121;UN;5.78
10854;77;UN;1.78
10861;35;UN;3.98
11029;77;UN;1.78
11076;16;UN;7.58
11093;726;UN;0.45
11103;24;UN;8.98
11104;5;UN;9.58
11126;1;UN;25.9
11130;4;UN;25.9
11133;314;UN;3.98
11137;68;UN;3.58
11218;22;UN;3.49
11340;6;UN;11.58
11343;77;UN;3.19
11346;26;UN;5.19
11376;557;UN;2.78
11382;44;UN;0.98
11397;16;UN;6.98
11411;58;UN;2.79
11429;14;UN;6.19
11438;454;UN;2.69
11441;25;UN;26.98
11462;-129.467;UN;5.98
11497;1;UN;19.98
11499;4;UN;19.98
11502;2;UN;19.98
11508;3;UN;19.98
11515;3;UN;19.98
11530;33;UN;4.98
11582;19;UN;9.78
11583;58;UN;3.19
11712;174;UN;5.58
11722;13;UN;3.49
11790;38;UN;3.58
11791;7;UN;4.58
11795;270;UN;3.98
11826;22;UN;3.35
11833;1487;UN;3.98
11860;98;UN;3.78
11865;7;UN;12.58
11871;52;UN;2.19
11876;7;UN;3.58
11877;23;UN;3.78
11886;36;UN;12.58
11887;9;UN;9.58
11900;14;UN;72.9
11903;23;UN;18.58
11904;5;UN;16.58
11938;63;UN;3.78
11949;55;UN;3.78
11969;58;UN;3.19
11981;7;UN;3.58
11982;9;UN;3.58
